epoch,loss,accuracy,val_accuracy
00005,2.898536332010284,0.30767692307692307,0.2128
00010,2.6041496569716087,0.36903846153846154,0.2568
00015,2.414892436951164,0.40783846153846154,0.2976
00020,2.29778325276112,0.4324923076923077,0.3172
00025,2.1750419534097505,0.4609846153846154,0.3396
00030,2.0801872953655214,0.4820923076923077,0.3534
00035,2.0327828216740467,0.4927076923076923,0.3604
00040,1.9308190068860693,0.5155076923076923,0.3856
00045,1.8654376043109444,0.5304615384615384,0.39
00050,1.8210517130498811,0.5416461538461539,0.3976
00055,1.7810708744319406,0.5509846153846154,0.4002
00060,1.7346179640199255,0.5607384615384615,0.4074
00065,1.6841646869351545,0.5719923076923077,0.4202
00070,1.6709904337492514,0.5762769230769231,0.427
00075,1.5937930570812675,0.5938230769230769,0.4322
00080,1.5487611805360149,0.6046384615384616,0.4422
00085,1.5254871680980593,0.6106384615384616,0.4422
00090,1.476492182476314,0.623576923076923,0.4496
00095,1.4454228361760537,0.628376923076923,0.4546
00100,1.410751579314705,0.6386153846153846,0.4568
